experiment,dataset,value,fixed,seed,n_clients,computing,communication,total,n_rounds,n_rounds_file,scale,n_rounds_equiv,file
clients,shakespeare,10,"E = 1, tx = 1.0",1337,10,1756.6006159010003,2.8653843240000003,1759.4660002250002,50,50,1.0,50,metrics_network_heterogeneous_shakespeare_fedavg_c_10_e_1_bg_multi_tx_1.0_fp_500000000_seed_1337.csv
clients,shakespeare,10,"E = 1, tx = 1.0",2026,10,1756.6006159010003,3.332678938,1759.9332948389997,50,50,1.0,50,metrics_network_heterogeneous_shakespeare_fedavg_c_10_e_1_bg_multi_tx_1.0_fp_500000000_seed_2026.csv
clients,shakespeare,10,"E = 1, tx = 1.0",8888,10,1756.6006159010003,3.272445272,1759.873061173,50,50,1.0,50,metrics_network_heterogeneous_shakespeare_fedavg_c_10_e_1_bg_multi_tx_1.0_fp_500000000_seed_8888.csv
clients,shakespeare,10,"E = 1, tx = 1.0",9999,10,1756.6006159010003,3.3257398479999996,1759.9263557490003,50,50,1.0,50,metrics_network_heterogeneous_shakespeare_fedavg_c_10_e_1_bg_multi_tx_1.0_fp_500000000_seed_9999.csv
clients,shakespeare,20,"E = 1, tx = 1.0",42,20,2339.1949353640002,3.6870381030000003,2342.8819734669996,50,50,1.0,50,metrics_network_heterogeneous_shakespeare_fedavg_c_20_e_1_bg_multi_tx_1.0_fp_500000000_seed_42.csv
clients,shakespeare,20,"E = 1, tx = 1.0",1337,20,2339.1949353640002,2.8793291500000002,2342.074264514,50,50,1.0,50,metrics_network_heterogeneous_shakespeare_fedavg_c_20_e_1_bg_multi_tx_1.0_fp_500000000_seed_1337.csv
clients,shakespeare,20,"E = 1, tx = 1.0",2026,20,2339.1949353640002,2.751926464,2341.9468618280002,50,50,1.0,50,metrics_network_heterogeneous_shakespeare_fedavg_c_20_e_1_bg_multi_tx_1.0_fp_500000000_seed_2026.csv
clients,shakespeare,20,"E = 1, tx = 1.0",8888,20,2339.1949353640002,3.22452276,2342.4194581240004,50,50,1.0,50,metrics_network_heterogeneous_shakespeare_fedavg_c_20_e_1_bg_multi_tx_1.0_fp_500000000_seed_8888.csv
clients,shakespeare,20,"E = 1, tx = 1.0",9999,20,2339.1949353640002,4.251480729,2343.446416093,50,50,1.0,50,metrics_network_heterogeneous_shakespeare_fedavg_c_20_e_1_bg_multi_tx_1.0_fp_500000000_seed_9999.csv
batch,femnist,0.2,"C = 20, tx = 1.0",42,20,257.316275658,896.228901768,1153.545177426,250,277,2.0,500,metrics_network_heterogeneous_femnist_minibatch_c_20_mb_0.2_bg_multi_tx_1.0_fp_500000000_seed_42.csv
